Line Item	Price	Unit	HSN	Applicable Site(s)	Site Count	Source PO/Invoice Count	Example Source File	App Display Name
Catch Salt (FS)	48	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	Catch Salt (FS)
Caustic Soda	65	KG		SS Plaza	1	1	Stepier - Banglore.pdf	Caustic Soda
Cell 9v Rechargable [NOS] | HSN 8544	580	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Cell 9v Rechargable [NOS] | HSN 8544
Cello Tape (2 inch) (FS)	32.5	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	Cello Tape (2 inch) (FS)
Cello Tape 1 inch	7.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Cello Tape 1 inch
Cello Tape 2 inch	16.49	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Cello Tape 2 inch
Cello Tape 3 inch	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Cello Tape 3 inch
Cello Tape 3 inch	56.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Cello Tape 3 inch
Cermic Tea Cup	90	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Cermic Tea Cup
Check Duster	10	PCS		AMR Tech Park	1	1	Stepier - Banglore.pdf	Check Duster
Cling Film	450	ROLL		SS Plaza	1	1	Stepier - Banglore.pdf	Cling Film
Colour Phenyl 5 Ltr	120	CAN		AMR Tech Park	1	1	Stepier - Banglore.pdf	Colour Phenyl 5 Ltr
Cotton Hand Gloves Pantry	45	PAIR		SS Plaza	1	1	Stepier - Banglore.pdf	Cotton Hand Gloves Pantry
Coution Board Cp	116.4	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Coution Board Cp
Crockery Plates (FS)	145	PCS		Sky mark - Noida	1	1	FCGC- Delhi.pdf	Crockery Plates (FS)
DAILY ATTENDANCE REGISTER	320	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	DAILY ATTENDANCE REGISTER
DAILY ATTENDANCE REGISTER [NOS] | HSN 482010	120	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	DAILY ATTENDANCE REGISTER [NOS] | HSN 482010
